Fill , Create Time , Duration Stable , Bfield , Peak Inst Lumi , Peak Pileup , Peak Spec Lumi , Delivered Lumi , Recorded Lumi , Eff By Lumi , Eff By Time , Begin Time , to Ready , End Time , Type , Energy , I Beam1 (x10^11) , I Beam2 (x10^11) , nB1 , nB2 , nCol , nTar , xIng (micro rad) , Injection Scheme , Runs , Comments , 
7492, 2018.12.02 12:43:25 , 1 hr 17 min ,3.800170765,2.263052,0.005792,1.271534,8.107441,7.753413,95.633,100, 2018.12.02 14:52:48 ,0.797, 2018.12.02 16:10:07 , Ion - PB82 vs PB82,6369,55.994582,48.342463,313,271,271,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj ,327564,  , 
7491, 2018.12.02 05:14:23 , 4 hr 49 min ,3.800170765,5.774102,0.005464,1.358067,52.419547,50.486211,96.312,100, 2018.12.02 07:48:39 ,0.8, 2018.12.02 12:37:57 , Ion - PB82 vs PB82,6369,127.663321,128.141922,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj ,327560,  , 
7490, 2018.12.01 18:16:27 , 8 hr 31 min ,3.800170765,5.854285,0.00554,1.352046,68.105705,65.955766,96.843,99.817, 2018.12.01 20:37:46 ,0.865, 2018.12.02 05:09:09 , Ion - PB82 vs PB82,6369,126.834316,128.83502,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj ,327554,  , 
7489, 2018.12.01 14:51:43 , 0 hr 43 min ,3.800170765,5.801384,0.00549,1.345927,13.013844,12.095692,92.945,100, 2018.12.01 17:27:17 ,0.911, 2018.12.01 18:10:36 , Ion - PB82 vs PB82,6369,127.540071,128.997717,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj ,327537,  , 
7488, 2018.12.01 03:40:24 , 8 hr 06 min ,3.800170765,5.761344,0.005452,1.352354,66.422038,63.615769,95.775,98.641, 2018.12.01 06:40:41 ,0.911, 2018.12.01 14:46:15 , Ion - PB82 vs PB82,6369,127.01961,128.775661,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj , 327524 327525 327526 327527  ,  , 
7487, 2018.11.30 16:19:47 , 8 hr 29 min ,3.800170765,5.634161,0.005331,1.384,66.775866,64.051658,95.92,99.133, 2018.11.30 19:04:55 ,0.96, 2018.12.01 03:34:23 , Ion - PB82 vs PB82,6369,125.464624,126.719193,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj , 327516 327517  ,  , 
7486, 2018.11.30 04:24:59 , 7 hr 36 min ,3.800170765,4.664757,0.004414,1.621709,55.895776,54.295339,97.137,100, 2018.11.30 08:38:53 ,0.739, 2018.11.30 16:14:35 , Ion - PB82 vs PB82,6369,117.53026,118.212264,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj ,327495,  , 
7485, 2018.11.29 16:17:58 , 7 hr 51 min ,3.800170765,4.533566,0.00429,1.633857,56.024689,53.990737,96.37,99.703, 2018.11.29 20:29:07 ,0.75, 2018.11.30 04:20:13 , Ion - PB82 vs PB82,6369,116.010202,117.317441,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj , 327488 327489  ,  , 
7483, 2018.11.28 22:45:50 , 13 hr 01 min ,3.800170765,3.976364,0.004448,1.793191,46.717718,44.679053,95.636,98.684, 2018.11.29 01:33:10 ,0.814, 2018.11.29 14:34:29 , Ion - PB82 vs PB82,6369,96.585541,98.521223,648,648,620,620,160, 100_150ns_648Pb_620_619_52_36bpi_20inj_V2 , 327462 327463 327464 327465 327466  ,  , 
7482, 2018.11.28 18:31:04 , 0 hr 29 min ,3.800170765,5.612424,0.005311,1.340164,8.555623,7.984553,93.325,100, 2018.11.28 22:10:03 ,0.825, 2018.11.28 22:38:35 , Ion - PB82 vs PB82,6369,129.396197,128.098543,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj ,327455,  , 
7481, 2018.11.28 07:08:25 , 8 hr 24 min ,3.800170765,6.02199,0.005698,1.207498,74.097238,68.107627,91.917,97.363, 2018.11.28 10:00:40 ,0.826, 2018.11.28 18:24:23 , Ion - PB82 vs PB82,6369,133.407724,135.781375,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj , 327424 327430 327431  ,  , 
7480, 2018.11.27 20:39:36 , 7 hr 53 min ,3.800170765,6.034038,0.00571,1.300364,71.478508,66.132538,92.521,95.752, 2018.11.27 23:10:17 ,0.863, 2018.11.28 07:03:24 , Ion - PB82 vs PB82,6369,129.529199,129.662557,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj , 327400 327402 327403  ,  , 
7477, 2018.11.26 19:37:32 , 8 hr 50 min ,3.800170765,5.70345,0.005397,1.400087,66.810347,63.632488,95.243,100, 2018.11.26 22:27:28 ,0.906, 2018.11.27 07:17:19 , Ion - PB82 vs PB82,6369,123.944556,125.876358,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj ,327327,  , 
7475, 2018.11.26 07:13:09 , 0 hr 30 min ,3.800170765,5.581548,0.005282,1.331338,2.688019,0.596296,22.183,29.306, 2018.11.26 17:06:30 ,27.039, 2018.11.26 17:36:34 , Ion - PB82 vs PB82,6369,127.488932,128.637133,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj , 327308 327310 327311 327312  ,  , 
7474, 2018.11.25 20:42:40 , 5 hr 54 min ,3.800170765,5.824947,0.005512,1.354156,59.071898,56.85528,96.248,100, 2018.11.26 01:13:23 ,0.918, 2018.11.26 07:07:01 , Ion - PB82 vs PB82,6369,126.081701,128.080727,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj ,327264,  , 
7473, 2018.11.25 08:19:30 , 9 hr 48 min ,3.800170765,6.212822,0.005879,1.226639,75.975247,72.895184,95.946,99.504, 2018.11.25 10:49:04 ,0.826, 2018.11.25 20:36:56 , Ion - PB82 vs PB82,6369,133.678498,132.87402,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj , 327237 327238  ,  , 
7472, 2018.11.24 21:47:57 , 7 hr 50 min ,3.800170765,5.03891,0.004768,1.368873,66.876225,63.660011,95.191,96.876, 2018.11.25 00:24:59 ,0.961, 2018.11.25 08:15:05 , Ion - PB82 vs PB82,6369,126.400353,126.397857,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj , 327219 327220 327221  ,  , 
7471, 2018.11.24 11:04:19 , 8 hr 08 min ,3.800170765,5.008438,0.004739,1.333773,67.258708,64.870521,96.449,99.788, 2018.11.24 13:35:22 ,0.854, 2018.11.24 21:43:04 , Ion - PB82 vs PB82,6369,126.926591,129.075375,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj ,327211,  , 
7468, 2018.11.23 17:02:25 , 9 hr 50 min ,3.800170765,5.162597,0.004885,1.253062,75.639144,73.150553,96.71,99.661, 2018.11.23 19:43:10 ,0.902, 2018.11.24 05:33:11 , Ion - PB82 vs PB82,6369,131.802952,131.652429,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj , 327173 327174  ,  , 
7467, 2018.11.23 02:52:21 , 7 hr 59 min ,3.800170765,4.043837,0.003826,1.398486,65.116078,63.171044,97.013,99.551, 2018.11.23 08:58:57 ,0.904, 2018.11.23 16:57:38 , Ion - PB82 vs PB82,6369,125.372685,125.07036,733,733,733,733,160, 75_150ns_733Pb_733_702_468_42bpi_20inj , 327147 327148  ,  , 
